Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
1,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
2,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005
3,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004
3,I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004
3,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005
3,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014
3,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105
3,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011
3,I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014
3,I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125
3,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
3,M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01
3,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
4,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035
4,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008
4,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
4,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006
4,I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005
4,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
4,I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005
4,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01
4,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009
4,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085
4,I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01
4,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015
4,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095
4,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011
4,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011
4,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007
4,I,0.205,0.15,0.065,0.04,0.02,0.011,0.013
4,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105
4,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
4,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013
4,I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015
4,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
4,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015
4,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017
4,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02
4,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025
4,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215
4,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02
4,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215
4,I,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02
4,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021
4,I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305
4,I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
4,I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255
4,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026
4,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
4,I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
4,I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
4,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405
4,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
4,M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008
4,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012
4,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015
4,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02
4,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045
5,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025
5,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
5,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055
5,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005
5,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008
5,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125
5,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01
5,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009
5,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009
5,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01
5,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
5,I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015
5,I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013
5,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01
5,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015
5,I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185
5,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02
5,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016
5,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
5,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
5,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465
5,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015
5,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02
5,I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215
5,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155
5,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021
5,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02
5,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225
5,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225
5,I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225
5,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225
5,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025
5,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023
5,I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025
5,I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031
5,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025
5,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035
5,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03
5,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03
5,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705
5,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027
5,I,0.275,0.205,0.065,0.101,0.041,0.021,0.034
5,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
5,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035
5,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031
5,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034
5,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033
5,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03
5,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034
5,I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033
5,I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035
5,I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03
5,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032
5,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031
5,I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365
5,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385
5,I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035
5,I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315
5,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035
5,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044
5,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045
5,I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038
5,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037
5,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
