rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.0,-0.490736,-0.444579,0.146607,0.154749,0.16263,0.300805,0.828922,7
0.0,-0.490736,-0.444579,0.146607,0.154749,0.16263,0.300805,0.828922,7
0.0,-0.479237,-0.270571,-0.117324,0.209519,0.366714,0.191783,0.871085,7
0.0,-0.466158,-0.111656,-0.26661,-0.478283,0.878514,0.736292,0.526764,6
0.0,-0.458423,0.339671,0.19243,-0.47667,0.965243,0.317971,0.549565,7
0.0,-0.448598,0.323359,-0.400035,-0.410145,0.525181,0.066516,0.7362,6
0.0,-0.448598,0.323359,-0.400035,-0.410145,0.525181,0.066516,0.7362,6
0.0,-0.420543,0.42915,-0.104277,-0.154306,0.212648,0.64997,0.662574,7
0.0,-0.420543,0.42915,-0.104277,-0.154306,0.212648,0.64997,0.662574,7
0.0,-0.410502,-0.162655,-0.186197,-0.080511,0.487763,0.031891,0.420307,8
0.0,-0.401574,0.070898,0.007583,0.159436,0.351118,0.95126,0.674357,7
0.0,-0.340253,0.024263,-0.153033,-0.232981,0.046691,0.047529,0.635294,7
0.0,-0.337111,0.370717,-0.387036,0.189501,0.464411,0.113282,0.537351,7
0.0,-0.337111,0.370717,-0.387036,0.189501,0.464411,0.113282,0.537351,7
0.0,-0.310944,0.415611,-0.104514,-0.45527,0.762075,0.42782,0.683455,8
0.0,-0.27788,0.494908,-0.243272,0.334367,0.549754,0.022495,0.780208,6
0.0,-0.27788,0.494908,-0.243272,0.334367,0.549754,0.022495,0.780208,6
0.0,-0.210455,-0.167424,0.434268,-0.10238,0.201842,0.086756,0.68231,8
0.0,-0.124066,0.313887,0.423934,0.312766,0.076616,0.739485,0.565236,8
0.0,-0.124066,0.313887,0.423934,0.312766,0.076616,0.739485,0.565236,8
0.0,-0.109823,0.337774,-0.081446,-0.024502,0.285409,0.058857,0.439583,6
0.0,-0.047994,-0.223132,-0.250457,-0.389985,0.36291,0.163468,0.623968,6
0.0,0.029272,0.450258,-0.360247,0.388009,0.528545,0.073253,0.580626,8
0.0,0.238062,-0.153088,0.310112,0.280598,0.197042,0.329858,0.754233,8
0.0,0.30496,0.415219,0.180781,0.154478,0.036675,0.111123,0.590353,7
0.0,0.30496,0.415219,0.180781,0.154478,0.036675,0.111123,0.590353,7
0.0,0.350144,0.083891,0.149193,-0.362766,0.027632,1.079095,0.711124,8
0.0,0.350144,0.083891,0.149193,-0.362766,0.027632,1.079095,0.711124,8
0.0,0.458634,-0.049761,-0.398052,-0.352038,0.19447,0.485114,0.736991,8
0.0,0.47539,0.214112,0.243659,-0.299842,0.6758,0.083973,0.753212,8
0.0,0.481323,-0.240832,-0.354272,0.106998,0.223043,0.659413,0.90882,8
0.000681,0.314465,-0.17439,0.322177,-0.120963,0.914941,0.963138,0.411234,8
0.000743,-0.271494,0.136007,0.36188,-0.499607,1.052651,0.104403,0.732254,8
0.000743,-0.271494,0.136007,0.36188,-0.499607,1.052651,0.104403,0.732254,8
0.000761,-0.413664,0.147523,0.073895,-0.419869,1.25354,0.193044,0.522703,7
0.000805,0.17114,-0.396041,-0.086116,-0.013289,0.297378,0.848127,0.89601,6
0.000805,0.17114,-0.396041,-0.086116,-0.013289,0.297378,0.848127,0.89601,6
0.000816,0.047271,0.309563,0.11731,-0.143482,0.773535,0.053208,0.930562,7
0.000831,-0.261359,-0.278563,0.196868,0.496038,0.528855,0.423615,0.766757,7
0.000831,-0.261359,-0.278563,0.196868,0.496038,0.528855,0.423615,0.766757,7
0.00086,0.078883,0.227497,0.396334,-0.430132,0.758123,0.095674,0.901513,5
0.000868,0.305485,-0.044858,0.399144,0.056856,0.374646,0.689705,0.63453,7
0.000868,0.305485,-0.044858,0.399144,0.056856,0.374646,0.689705,0.63453,7
0.000868,0.305485,-0.044858,0.399144,0.056856,0.374646,0.689705,0.63453,7
0.000868,0.305485,-0.044858,0.399144,0.056856,0.374646,0.689705,0.63453,7
0.000894,0.055408,-0.115296,-0.287018,0.415569,0.334529,0.425684,0.843811,5
0.000894,0.055408,-0.115296,-0.287018,0.415569,0.334529,0.425684,0.843811,5
0.000895,0.185474,-0.456758,0.349827,0.093767,0.052359,0.842737,0.567002,6
0.0009,-0.434651,0.155295,-0.201784,-0.425662,0.501049,0.351948,0.601253,7
0.000916,-0.035087,-0.247657,0.322462,0.14124,0.368677,0.633643,0.887765,7
0.000916,-0.035087,-0.247657,0.322462,0.14124,0.368677,0.633643,0.887765,7
0.000923,0.431571,-0.141078,0.338398,-0.248616,0.970557,0.034779,0.95909,7
0.000955,0.211049,-0.106873,0.049717,0.385467,0.646093,0.085953,0.251893,6
0.000955,0.211049,-0.106873,0.049717,0.385467,0.646093,0.085953,0.251893,6
0.000991,0.120033,-0.00353,0.447004,-0.307745,0.455808,0.108029,0.739446,6
0.000991,0.120033,-0.00353,0.447004,-0.307745,0.455808,0.108029,0.739446,6
