HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
50.0,1.834,0.0,19.58,1,0.605,7.802,98.2,2.041,5,403,14.7,389.609,1.92
37.9,0.091,0.0,2.46,0,0.488,7.155,92.2,2.701,3,193,17.8,394.119,4.82
31.0,0.825,20.0,3.97,0,0.647,7.327,94.5,2.079,5,264,13.0,393.42,11.25
12.5,5.872,0.0,18.1,0,0.693,6.405,96.0,1.677,24,666,20.2,396.898,19.37
41.7,0.575,0.0,6.2,0,0.507,8.337,73.3,3.838,8,307,17.4,385.908,2.47
24.0,0.33,0.0,6.2,0,0.507,6.086,61.5,3.652,8,307,17.4,376.75,10.88
18.2,0.043,80.0,1.91,0,0.413,5.663,21.9,10.586,4,334,22.0,382.799,8.05
23.7,0.128,30.0,4.93,0,0.428,6.393,7.8,7.035,6,300,16.6,374.709,5.19
25.0,2.924,0.0,19.58,0,0.605,6.101,93.0,2.283,5,403,14.7,240.159,9.81
15.0,19.609,0.0,18.1,0,0.671,7.313,97.9,1.316,24,666,20.2,396.898,13.44
14.6,2.369,0.0,19.58,0,0.871,4.926,95.7,1.461,5,403,14.7,391.709,29.53
20.1,0.14,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,392.689,12.33
19.4,0.264,0.0,8.56,0,0.52,6.229,91.2,2.545,5,384,20.9,391.229,15.55
22.6,4.261,0.0,18.1,0,0.77,6.112,81.3,2.509,24,666,20.2,390.738,12.67
21.0,1.002,0.0,8.14,0,0.538,6.674,87.3,4.239,4,307,21.0,380.229,11.98
22.3,0.046,52.5,5.32,0,0.405,6.315,45.6,7.317,6,293,16.6,396.898,7.6
23.8,0.168,0.0,7.38,0,0.493,6.426,52.3,4.54,5,287,19.6,396.898,7.2
20.3,0.141,0.0,13.92,0,0.437,5.79,58.0,6.32,4,289,16.0,396.898,15.84
20.6,0.107,80.0,1.91,0,0.413,5.936,19.5,10.586,4,334,22.0,376.039,5.57
10.5,22.051,0.0,18.1,0,0.74,5.818,92.4,1.866,24,666,20.2,391.449,22.11
24.7,0.175,0.0,5.96,0,0.499,5.966,30.2,3.847,5,279,19.2,393.43,10.13
25.0,0.198,0.0,10.59,0,0.489,6.182,42.4,3.945,4,277,18.6,393.629,9.47
24.8,0.044,70.0,2.24,0,0.4,6.871,47.4,7.828,5,358,14.8,390.859,6.07
25.2,0.162,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.898,6.59
13.6,0.106,0.0,27.74,0,0.609,5.983,98.8,1.868,4,711,20.1,390.109,18.07
8.3,24.802,0.0,18.1,0,0.693,5.349,96.0,1.703,24,666,20.2,396.898,19.77
23.1,0.182,0.0,7.38,0,0.493,6.376,54.3,4.54,5,287,19.6,396.898,6.87
22.9,0.062,40.0,1.25,0,0.429,6.49,44.4,8.792,1,335,19.7,396.898,5.98
18.2,0.638,0.0,8.14,0,0.538,6.096,84.5,4.462,4,307,21.0,380.02,10.26
