HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
5.0,38.352,0.0,18.1,0,0.693,5.453,100.0,1.49,24,666,20.2,396.898,30.59
5.0,67.92,0.0,18.1,0,0.693,5.683,100.0,1.425,24,666,20.2,384.969,22.98
6.3,9.917,0.0,18.1,0,0.693,5.852,77.8,1.5,24,666,20.2,338.158,29.97
7.0,0.183,0.0,27.74,0,0.609,5.414,98.3,1.755,4,711,20.1,344.049,23.97
7.0,45.746,0.0,18.1,0,0.693,4.519,100.0,1.658,24,666,20.2,88.27,36.98
7.2,16.812,0.0,18.1,0,0.7,5.277,98.1,1.426,24,666,20.2,396.898,30.81
7.4,22.597,0.0,18.1,0,0.7,5.0,89.5,1.518,24,666,20.2,396.898,31.99
7.5,10.834,0.0,18.1,0,0.679,6.782,90.8,1.819,24,666,20.2,21.57,25.79
8.1,0.207,0.0,27.74,0,0.609,5.093,98.0,1.823,4,711,20.1,318.43,29.68
8.3,15.86,0.0,18.1,0,0.679,5.896,95.4,1.91,24,666,20.2,7.68,24.39
8.4,11.812,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
8.4,13.678,0.0,18.1,0,0.74,5.935,87.9,1.821,24,666,20.2,68.95,34.02
8.5,7.672,0.0,18.1,0,0.693,5.747,98.9,1.633,24,666,20.2,393.1,19.92
8.5,41.529,0.0,18.1,0,0.693,5.531,85.4,1.607,24,666,20.2,329.459,27.38
8.7,15.177,0.0,18.1,0,0.74,6.152,100.0,1.914,24,666,20.2,9.32,26.45
8.8,73.534,0.0,18.1,0,0.679,5.957,100.0,1.803,24,666,20.2,16.45,20.62
9.5,9.339,0.0,18.1,0,0.679,6.38,95.6,1.968,24,666,20.2,60.72,24.08
9.6,14.421,0.0,18.1,0,0.74,6.461,93.3,2.003,24,666,20.2,27.49,18.05
10.2,12.247,0.0,18.1,0,0.584,5.837,59.7,1.998,24,666,20.2,24.65,15.69
10.2,14.334,0.0,18.1,0,0.7,4.88,100.0,1.589,24,666,20.2,372.92,30.62
