usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
46,76,0,6841,376,188,20.069385334521346,59.20896833136405,273940,35444,1.5425110181133699,178,1101162
46,74,0,6830,374,189,20.188537200102303,59.450318012648424,274211,34489,1.5158895701833497,167,1100383
45,75,0,6834,379,188,20.17535177171724,59.32895884206792,272670,35054,1.4687885366270172,166,1101504
46,74,0,6835,377,188,20.12,59.56,274532,34446,1.5,168,1100449
45,74,0,6821,376,185,20.120732299928,59.76391131105975,272637,34513,1.529946234606721,166,1102558
45,75,0,6824,373,191,20.191257790505464,59.19252482769863,274867,32500,1.508578531260513,170,1101592
48,43,1,6461,593,457,14.472997700528765,18.707911745236668,390727,97182,4.789809202918411,169,1097306
48,44,2,6490,587,461,14.346293410844538,19.22932794253904,394935,96448,4.787828719710855,180,1096224
48,44,1,6493,591,460,14.4,19.2,391816,97027,4.8,182,1096938
47,43,1,6470,587,459,14.355298564766537,18.776024031265102,393102,96906,4.826665497353266,212,1095530
48,45,0,6496,588,457,14.362578096503084,19.332172683289798,391958,99399,4.774555906316267,180,1097897
53,64,1,6955,667,543,17.187489096461622,20.240537649543416,392703,104610,7.952088568706845,192,1100021
50,54,1,4530,516,199,13.37,33.53,179195,43512,2.8,165,1099238
50,54,1,4516,516,195,13.26536151881694,33.57201664849114,182142,44454,2.7843825729728855,176,1098955
50,54,1,4530,516,199,13.37,33.53,179195,43512,2.8,165,1099238
49,54,1,4556,517,197,13.384566609007988,33.67672379797143,176973,46257,2.844814607063279,164,1099759
50,54,1,4530,516,199,13.37,33.53,179195,43512,2.8,165,1099238
49,53,1,4533,509,193,13.344713718397532,33.53136502613141,185829,43048,2.8083162303190687,165,1100133
50,59,5,4215,255,127,14.17,32.53,147062,56430,3.0,176,1100525
49,56,5,4230,256,130,14.225999287520017,32.65962598854171,147184,56923,2.993666461722777,181,1101239
49,59,4,4184,255,122,14.178583686039635,32.90295516487637,145408,57077,3.0251375031802503,170,1098558
50,59,5,4202,254,126,14.128206940960542,32.9161654011788,148219,58070,3.047830077627074,195,1102047
50,59,5,4250,251,123,14.111365968837314,32.90505577559184,150262,55858,2.9554835676331206,169,1099679
50,59,4,4174,251,134,14.222587365287433,32.313848264026326,146798,56683,3.00441397800709,175,1101636
51,15,0,5849,496,270,11.352371060010944,30.96803409198264,405314,45751,2.5265472495186874,138,1088786
51,14,0,5867,488,266,11.324774177932857,30.42377988682091,404744,45031,2.5155321989343977,129,1088088
51,14,0,5930,494,267,11.476599567390343,30.29329510412725,404740,47150,2.53122115728119,147,1087347
50,14,0,5907,491,271,11.355967029512689,30.669661720136727,399958,46052,2.4687375646656404,133,1086311
50,16,0,5853,491,273,11.412619522635199,30.453876227214316,410273,47504,2.507388852806911,115,1087950
50,14,0,5899,491,268,11.459594137178959,30.454732342709608,403788,43437,2.458544187537501,144,1087390
50,19,0,5443,312,151,15.123745873784916,13.61005030878319,353002,55660,2.2575847085131664,195,977048
51,16,1,5425,307,145,14.93390337360133,13.462005671655206,349245,54985,2.2736435954585232,201,976901
50,15,0,5384,303,152,14.936440991522906,13.925996868719688,349735,53997,2.1569724515377637,201,978556
50,16,1,5393,307,150,14.964533934547395,13.753239728942743,348576,55768,2.2666438640102675,206,976191
50,17,1,5384,303,146,14.987800187220108,13.427553173669576,355984,54560,2.203094288489566,196,975967
51,18,1,5416,305,152,15.0,13.6,353139,55246,2.2,204,977618
51,52,0,4682,357,222,12.6,34.4,290329,134230,3.0,134,1098146
51,50,0,4671,362,225,12.544362404161154,34.52626907585295,289805,134967,3.0481777047252607,121,1096621
50,50,0,4681,356,225,12.654278369325162,34.09777993263587,293992,134220,2.9756293251235024,139,1098016
50,51,0,4673,358,224,12.62578666689771,34.41748253358254,285344,133335,3.03777539613269,124,1097600
50,49,0,4689,353,221,12.599462160737247,34.395717332771994,290182,135606,3.0418070553231047,149,1097325
51,52,0,4682,357,222,12.6,34.4,290329,134230,3.0,134,1098146
52,54,0,4657,300,221,16.07963323052861,36.80034301205878,180521,27976,1.012484130723881,180,1101645
51,55,0,4628,306,227,16.085131464934413,37.38861983531594,182587,30182,1.018848271666703,194,1102002
51,53,0,4674,307,221,16.301112299446142,36.761695647239286,178736,29263,0.994076074894689,193,1101979
51,51,-1,4661,302,226,16.302985819835918,37.062115253425475,180206,27634,1.0273034662211564,201,1101016
51,54,0,4665,294,223,16.140553807182812,36.63928293915502,179919,29733,0.9939161062723205,193,1101249
52,54,0,4665,300,225,16.195001857728553,37.34693580405251,182214,29233,1.0354702337619568,177,1105588
52,82,67,5038,530,456,11.8958177827264,19.553824778230823,262739,42813,5.825545275918049,244,1091843
53,84,68,5027,525,453,11.932223954497285,19.6467403992103,260071,41387,5.81587474531625,238,1089306
52,81,67,4966,523,452,11.987083299169878,19.7313677349389,258274,41946,5.788535185696768,238,1091950
53,82,67,4996,526,449,12.009099558061857,19.3341777637972,262340,43780,5.823623202631435,224,1089481
52,83,68,5036,533,445,11.863418349053637,19.320299868523385,259430,44301,5.798043630867103,235,1090529
52,84,67,5036,529,451,11.95794652473567,19.344471275289774,261267,42406,5.7617005932991,221,1091382
53,28,3,3438,142,83,15.08260870305458,38.682183345855314,363453,30423,1.2329523213667164,227,1083707
54,25,2,3395,149,84,15.056248726146567,38.33928496811331,362595,30229,1.182651337008132,241,1082531
54,26,3,3354,144,84,14.986809027892475,38.61025440167294,365385,26908,1.2172367597594238,229,1082573
54,27,1,3452,152,82,15.022258546378449,38.754520255708485,363520,29325,1.184547674172157,223,1081681
53,26,2,3427,145,82,15.083942866562804,39.01138771269989,359610,29492,1.1717555625833618,232,1082663
54,28,3,3425,146,84,15.0,38.8,363364,29405,1.2,235,1082774
55,87,75,5228,514,186,11.28278762231647,31.896872607566554,427009,41131,2.4588975703753118,199,1081199
54,61,104,5136,504,193,11.266275846923994,32.03551633419088,427919,39705,1.914033471545672,232,1081344
53,54,60,4830,405,172,10.212514567766707,31.223654941762504,426404,37494,1.7828574131735615,146,1079785
55,78,84,5291,479,181,10.301714196371083,31.714909793205255,426940,40815,2.485023102361109,222,1081312
54,54,60,4811,409,181,10.122518791922246,31.230126932111606,423456,40143,1.7832557066331443,136,1079999
54,52,61,4812,407,179,10.160467988548504,31.15425731846106,423435,38265,1.7650801420476538,151,1080548
53,160,140,5146,414,210,9.74862793873586,25.368993475260925,437916,74002,3.356395779870511,151,1095770
54,162,140,5154,423,216,9.749950006220054,25.442426091983553,441341,74385,3.277867433071236,154,1097238
54,158,140,5147,420,208,9.742922036673797,24.907274388742056,442219,72498,3.325698655628633,161,1096121
54,159,140,5185,422,215,9.882621953718145,25.357311454709325,437832,74282,3.314390724154204,146,1096036
54,160,139,5186,410,210,9.865173156871537,25.207366815720917,438954,76430,3.3089267820033754,155,1096834
53,159,138,5171,415,212,9.734960748447197,24.88926310071726,441303,74199,3.2974685511198523,175,1095732
54,16,2,7440,815,569,12.697723193643712,9.848798216137897,429087,118125,0.986651508611665,285,997379
