Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
20,0,17.89,40.43333333,16.82333333,40.96333333,18.1,39.82666667,15.8,40.09,15.89,48.27,3.7,99.5,16.0,35.4,17.29,43.29,15.5,40.0,3.7,761.2,97.0,6.833333333,40.16666667,3.2,45.80445092,45.80445092
20,0,18.1,38.93333333,17.1,38.23,18.39,39.36333333,16.89,36.9,16.13888889,50.80166667,-2.833333333,91.73,15.89,32.36944444,18.6,43.26833333,15.8,40.83333333,-3.05,763.3666667,91.33333333,1.0,54.33333333,-4.3,43.86659197,43.86659197
20,0,18.125,42.5675,17.39,41.9,18.42666667,43.59,15.8,46.43333333,15.39,51.0,6.0,99.9,15.63,39.90888889,18.6,53.145,15.33,47.96666667,5.8,768.2,91.0,4.0,27.0,4.5,44.3878833,44.3878833
20,0,18.89,44.29,18.2,44.0,19.92666667,45.09,18.5,44.2,17.2,52.79,5.5,78.63333333,18.0,45.24090909,18.7,53.42,17.2,50.2,5.03,752.65,90.0,7.166666667,22.83333333,3.43,8.272696659,8.272696659
20,0,18.92666667,41.86333333,18.39,41.29,18.2,43.7,15.89,47.43333333,15.445,51.065,5.5,99.9,15.59444444,40.09,19.49388889,51.63611111,15.16,46.86333333,5.2,769.55,92.0,4.5,23.5,4.0,11.58024393,11.58024393
20,0,19.16666667,38.29,17.5,40.2,20.65714286,37.65285714,17.7,38.43333333,17.0,45.2,6.156666667,91.3,17.79,33.645,19.5,45.79,17.7,42.32666667,6.33,754.0666667,94.0,9.666666667,47.0,5.4,33.68137396,33.68137396
20,0,19.2,46.925,18.5,46.79,19.79,45.29,18.2,48.09,17.39,54.09,9.69,99.9,17.57777778,45.35722222,17.6,51.29,17.0,49.0,9.8,755.5,95.0,7.0,64.0,9.1,17.68071512,17.68071512
20,0,19.315,45.345,18.6,44.9,19.79,44.5,18.2,45.09,17.2,52.09,6.69,84.86666667,18.55,40.145,18.54444444,46.21666667,17.1,46.5,7.17,765.1,69.83333333,2.0,30.83333333,1.93,27.12754589,27.12754589
20,0,19.5,41.29,18.29,41.5,19.79,40.7,19.0,38.2,17.76,56.66333333,-0.266666667,95.04388889,19.0,34.96666667,19.73,42.73,17.23,38.23,-1.15,757.9,72.33333333,3.0,40.0,-5.58,19.93228478,19.93228478
20,0,19.7,37.0,16.5,41.2,20.56666667,37.9,18.53333333,35.12666667,17.6,47.0,4.09,63.36,18.42666667,35.26666667,19.89,43.43333333,17.6,40.09,3.85,748.4,71.5,6.5,40.0,-0.9,46.48757831,46.48757831
