heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
-0.15,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,100
0.17,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,100
0.18,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.0,100
0.19,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,100
0.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,100
0.27,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.0,100
0.71,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,100
0.72,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,100
0.77,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.5,100
0.8,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.5,100
0.96,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.5,100
1.07,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.5,100
1.23,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.0,100
1.28,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.0,100
1.38,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.0,100
1.48,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.5,1000
1.58,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,1000
1.68,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,1000
1.81,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.5,100
1.89,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,100
1.89,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,1000
1.92,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.0,100
1.97,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.5,100
1.97,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,1000
2.04,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.5,100
2.13,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,1.5,100
2.16,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.5,1000
2.26,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,1000
2.36,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,1000
2.44,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.5,1000
2.44,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.0,100
2.48,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.0,1000
2.54,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.5,1000
2.55,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.0,100
2.55,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.5,100
2.67,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.5,1500
2.75,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.0,100
2.75,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.5,100
