heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
-13.41,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,0.0,100
-11.4,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,0.5,100
-7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.0,100
-7.39,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.5,100
-5.83,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.5,100
-5.09,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.0,100
-4.16,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.5,100
-3.88,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.0,100
-3.69,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.5,100
-3.39,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.5,100
-2.85,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,100
-2.25,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,1.5,100
-2.0,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,100
-2.0,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.5,100
-1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,100
-1.27,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.0,100
-1.13,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,100
-0.9,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.5,100
-0.69,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,1000
-0.56,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,1000
-0.38,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.0,1000
-0.34,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,1000
-0.29,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.5,100
-0.25,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,100
-0.2,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.0,100
-0.15,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,100
-0.09,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,2000
-0.09,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,1000
0.0,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,2.0,100
0.17,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,100
0.18,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.0,100
0.19,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,100
0.2,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,100
0.2,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.0,100
0.21,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.0,1000
0.24,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.0,100
0.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,100
0.32,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.5,1000
0.41,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,100
0.44,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,1000
0.46,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,1000
0.48,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,1000
0.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,2000
0.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,1000
0.56,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,0.0,100
0.56,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,0.0,1000
0.56,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,100
0.59,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,100
0.62,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,0.0,100
0.63,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,2500
