heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
-7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.0,100
0.17,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,100
0.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,100
0.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,1000
1.05,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,1.0,1000
1.07,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.5,100
1.07,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,100
1.58,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.0,1000
1.71,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,100
1.79,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,1.0,1000
1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,2.5,100
2.21,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.0,1500
2.26,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,1000
2.37,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
2.38,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,1500
2.59,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,4.0,100
2.71,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.0,1000
2.81,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.5,100
2.93,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,1500
3.09,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.5,700
3.22,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,2500
3.27,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,2.0,100
3.39,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.0,2000
3.47,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,1000
3.49,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.5,1000
3.56,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,3.0,1000
3.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.0,1000
3.68,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,1.0,1500
3.78,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,3500
