heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
81.36570246425312,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,13.5,2899
77.46212546695865,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,12.781255494629574,2739
78.07051656982313,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,11.853909282663937,3573
80.68953411186232,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,12.0,3659
79.49167844854551,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,11.191357313190398,3308
78.06375886071908,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,10.737643759793404,3381
78.6383227767925,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,12.993007927527861,3506
79.84060749408688,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,13.0,3584
75.51736051360116,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,10.661672918874412,4500
79.28490743646061,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,10.064419044541829,4935
77.7495495957911,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,7.603847216123867,4448
77.09570679272163,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,8.810943174050148,4000
79.77956253505327,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,18.07728322741646,3422
75.37574109688971,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,18.76914570086777,3000
77.02332274583523,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,8.48944788779334,5000
78.40711924739387,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,8.140491875797952,5000
78.81143344709898,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,9.803375603424229,4000
76.78536585365853,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,7.6443432214794615,4451
76.95361754590876,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,12.88586445264174,4200
75.61964174763699,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,12.294805295111741,4200
75.81229349330872,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,7.226546120084283,5000
78.80507079646017,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,7.729281368730485,5000
76.57202426772784,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,7.165141713764029,4708
76.27967773629398,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,6.219162219078032,5000
80.87904534020491,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,10.883501684087868,4116
79.4272427622509,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,11.0,4283
80.78076086288488,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,16.69835898105111,5000
74.91291730628046,nominal4,nominal20,nominal24,1743,86.72585093748596,80.0,4,105,140,14.675493936013577,5000
80.47245105909963,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,6.5,4500
78.77386572169841,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,7.4677675365941205,4500
78.88979844569407,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,18.576824511915305,2807
82.45852549490102,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,19.5,2698
78.37715758655804,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.445910719227838,4777
78.37715758655804,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.232961282590804,4883
77.305977516475,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,13.681566172471308,2606
80.03715760024868,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,13.838515656447644,2661
83.6488970111419,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,11.945976422068448,2608
79.72355108668499,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,11.724458265596695,2683
78.8579957005564,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,8.313776669219623,4500
78.56532029712399,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,7.003937421874288,4996
76.41056514913657,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.783413207264385,4500
78.75533434650455,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.023651914199512,4738
76.42096010464356,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,16.888723221520156,4233
74.94999866577717,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,16.60514100448466,4278
80.59112591770005,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,7.5,4955
78.95273255446796,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,7.680952903070621,4500
76.68408237747654,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,5.1413236720434945,4871
83.06050348152115,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,5.001876497284684,5000
81.77519985443077,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,9.724157081000047,5000
78.75381341440244,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,11.137439023439068,4672
79.9624307328311,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,4.208750331098683,4645
81.2656938588451,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,4.496513915734395,4503
77.78397894331385,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,11.185232335808605,3500
76.4495534488395,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,11.141286138564947,3500
78.15347515012137,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,15.595772739563287,4200
78.15347515012137,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,15.963569975808493,4200
77.8818544405258,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,11.768524308112106,4410
80.59175010803136,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,12.771093275787214,4228
77.4192243159525,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,15.69849036830258,5000
81.24267767584098,nominal4,nominal20,nominal24,1757,87.42776405371158,80.0,4,105,140,15.816134298502758,5000
80.27157529149093,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,10.5,4944
78.83312195430669,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,11.395863489407054,4500
77.45925567595458,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,8.185786707947772,4000
77.45925567595458,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,8.462403931993183,4000
80.13926423067362,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,5.977457688954077,4022
76.87475976854562,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,6.406389046458079,4000
77.32458804523425,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,8.18412202810668,4563
77.32458804523425,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,7.4587626645783285,4708
76.88515894168889,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,11.822688423908833,3500
82.37417102966842,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,11.5,3898
81.39735929678916,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,6.610375667586851,4389
77.01593900064893,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,7.012635647989376,4000
78.76548184755751,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,12.467385900750315,5000
80.3710965183992,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.028976555449775,5000
76.2326219832109,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,10.222727899797405,4655
80.07369043175315,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,9.640912955584986,5000
76.02859755255389,nominal4,nominal14,nominal24,1679,84.02830813505513,79.98189221504018,4,105,138,13.924950299428463,5010
