critical_temp,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
0.125,2,93.592,94.38133333,93.56203846,94.35462581,0.692827068,0.628503523,4.736,33.56533333,2.368,2.23257181,672.25,676.4333333,672.132844,676.3289783,0.692972911,0.630644941,25.1,236.6333333,12.55,11.83225347,198.0,195.3333333,197.8383178,195.1902592,0.692330715,0.648392201,16,58.0,8.0,7.542472333,8395.5,9023.666667,8181.263961,8828.318135,0.667738869,0.551673614,3769.0,4683.0,1884.5,1776.723639,58.0,63.13333333,55.91815448,61.22572074,0.657471156,0.533065874,30.8,34.73333333,15.4,14.51925924,28.5,31.0,27.49545417,30.07978761,0.658109988,0.534159367,15.0,17.0,7.5,7.071067812,81.0,100.3333333,56.54201977,76.31076586,0.408533103,0.269917452,116.0,85.0,58.0,54.68292441,5.0,5.333333333,4.898979486,5.241482788,0.673011667,0.562335145,2,2.666666667,1.0,0.942809042
0.189,2,123.155,123.2226904,123.0747578,123.142452,0.692495697,0.691831119,8.89,6.320456853,4.445,4.444484561,788.6,789.8243655,784.4907903,785.7139751,0.68794095,0.686287025,160.8,92.40913706,80.4,80.39067688,134.0,133.8324873,133.5477443,133.3805252,0.689774039,0.6909047,22,8.959390863,11.0,10.99872445,6775.0,6766.852792,6753.84335,6745.70954,0.690026055,0.691109613,1070.0,431.8274112,535.0,534.9379618,150.25,150.8812183,144.4193893,145.0435928,0.654596072,0.650521596,82.9,43.73807107,41.45,41.44519349,12.25,12.32994924,11.06797181,11.1454612,0.598269589,0.592517303,10.5,5.436548223,5.25,5.249391214,35.0,34.51269036,14.17744688,13.84607912,0.176920351,0.180836348,64.0,31.46700508,32.0,31.99628931,5.0,5.015228426,4.898979486,4.914127465,0.673011667,0.669945992,2,1.076142132,1.0,0.999884041
0.35,2,59.1027693,48.3956924,49.61213438,40.49619117,0.537164723,0.659843553,64.2424614,12.4203076,32.1212307,30.28418673,618.45,604.7,617.0727996,603.484856,0.69092115,0.655490187,82.5,164.9,41.25,38.89087297,162.0,147.3333333,155.9102306,142.0835322,0.655795132,0.690842016,88,10.0,44.0,41.48359783,4605.5,3970.333333,4192.815283,3620.693324,0.604928542,0.688790726,3811.0,370.3333333,1905.5,1796.522629,43.3,43.53333333,43.29434143,43.52829445,0.693016501,0.631445259,1.4,15.13333333,0.7,0.659966329,15.85,14.13333333,14.98999666,13.39663166,0.639389891,0.69310268,10.3,0.133333333,5.15,4.855466564,129.0,164.3333333,73.5187051,108.2981872,0.300560504,0.188540141,212.0,149.0,106.0,99.93775841,3.5,3.333333333,3.464101615,3.301927249,0.682908105,0.673011667,1,0.666666667,0.5,0.471404521
0.46,3,73.40975,73.09785,72.36777446,72.47255088,1.084443798,0.945938393,30.21245,31.83932,12.34649859,9.571182734,703.8666667,726.32,700.89931,723.9670764,1.094482288,0.916589809,144.6,332.92,63.30546755,56.22079331,162.0,147.2,158.0559007,143.8965673,1.073608815,1.02543997,87,45.2,36.68787266,33.70697257,6234.333333,5869.8,5963.201571,5698.365216,1.05305313,0.9797161,4436.0,2299.4,1922.224464,1554.443618,88.36666667,101.22,75.20518186,90.81204972,0.972975539,0.747013841,89.4,66.08,40.59436195,35.16466408,20.13333333,24.8,18.40574805,22.90566642,1.010150336,0.695149872,20.4,16.8,8.582669877,8.767211643,56.0,57.6,45.27730005,50.67442307,0.931621624,0.824817858,74.0,32.6,30.34248946,23.58474083,3.0,3.4,2.884499141,3.287503659,1.060856947,0.803742107,2,2.0,0.816496581,0.8
0.509,1,101.07,101.07,101.07,101.07,0.0,0.0,0.0,0.0,0.0,0.0,710.3,710.3,710.3,710.3,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,178.0,178.0,0.0,0.0,0,0.0,0.0,0.0,12370.0,12370.0,12370.0,12370.0,0.0,0.0,0.0,0.0,0.0,0.0,102.8,102.8,102.8,102.8,0.0,0.0,0.0,0.0,0.0,0.0,25.7,25.7,25.7,25.7,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0,0.0,0.0,0.0
0.67,3,103.1574333,88.79556,80.56634984,68.99113593,0.907266386,0.980992577,146.8813,31.3338,60.00840124,55.53043696,700.8333333,738.4,686.8184147,728.0929802,1.079618318,0.999833994,290.5,218.8,133.0102335,112.9714123,165.6666667,155.4,159.6699315,150.1674549,1.063422097,1.07626195,106,24.2,43.33846124,40.26710817,8064.666667,7709.4,6508.326522,5991.773027,0.938773163,0.898373486,9693.0,3877.2,4151.713087,4463.942141,80.6,86.42,72.68875302,77.87520744,0.99183601,0.895736633,83.6,43.74,38.56691155,39.7700088,29.63333333,31.16,26.42090096,27.40643909,0.982402874,0.889724695,33.5,15.68,14.70290976,15.66609077,79.0,91.6,55.43999683,71.08268756,0.832587631,0.757385332,134.0,56.8,54.99696961,51.74011983,3.666666667,3.8,3.634241186,3.776350045,1.090059659,1.019865214,1,1.0,0.471404521,0.4
0.91,2,102.9893755,102.9893755,42.13191863,42.13191863,0.179693143,0.179693143,187.954387,93.9771935,93.9771935,93.9771935,894.05,894.05,894.0373818,894.0373818,0.693133067,0.693133067,9.5,4.75,4.75,4.75,143.0,143.0,139.5994269,139.5994269,0.669462106,0.669462106,62,31.0,31.0,31.0,10574.0,10574.0,5972.135297,5972.135297,0.296443556,0.296443556,17452.0,8726.0,8726.0,8726.0,112.9,112.9,18.34257343,18.34257343,0.039930396,0.039930396,222.8,111.4,111.4,111.4,10.225,10.225,9.968701019,9.968701019,0.668187045,0.668187045,4.55,2.275,2.275,2.275,255.0,255.0,246.5765601,246.5765601,0.660298388,0.660298388,130.0,65.0,65.0,65.0,3.5,3.5,3.16227766,3.16227766,0.598269589,0.598269589,3,1.5,1.5,1.5
0.91,3,99.524825,140.2363525,85.53967279,124.4115045,0.943558703,0.501491035,122.25448,110.8496867,57.57487756,57.57483595,751.4666667,755.7833333,751.3881601,755.7315267,1.098508166,0.862216595,23.9,384.0333333,10.82599752,8.78832875,167.0,183.5,165.4575607,181.9107257,1.089098492,0.776083836,51,108.5,23.36664289,23.35058886,11486.0,14068.0,10969.70169,13514.64144,1.050802923,0.661482845,7750.0,9616.666667,3651.500879,3651.500148,70.4,51.45,62.18833644,44.95687861,0.984575049,1.060489601,81.0,10.8,33.27191007,30.20947699,23.13333333,29.56666667,21.56661509,27.86392189,1.025819068,0.614130076,19.8,21.3,9.10726206,9.102685806,82.66666667,69.83333333,80.34744715,67.67425277,1.072061182,1.004706154,43.0,22.83333333,18.51725922,18.33409089,3.666666667,4.333333333,3.419951893,4.135185542,1.036198785,0.687092027,3,3.0,1.247219129,1.105541597
1.1,3,89.96549,80.177494,73.77004218,64.99982217,0.944965985,0.984901561,110.81997,29.928,46.15805695,44.51797694,682.2,710.42,673.8712987,704.1040535,1.08676686,1.013464843,244.9,206.18,103.4004191,89.73163099,159.6666667,152.6,155.2868085,148.3728897,1.072510175,1.066488557,84,30.2,35.56527645,34.90329497,6975.333333,7141.2,5628.240014,5530.044425,0.913198722,0.819985294,10120.0,4048.0,4172.884321,4553.07432,98.6,108.42,90.59866086,102.2410013,1.024875419,0.931131828,85.6,44.14,36.06392473,31.33901083,26.06666667,30.02,19.00354689,23.69918932,0.843194288,0.760846788,43.9,18.82,18.18613636,17.41004308,104.3333333,122.6,66.38071971,91.97328062,0.837145907,0.781148253,137.0,57.4,64.58241935,54.8,4.333333333,4.6,4.160167646,4.44128607,1.057905425,0.972439912,3,1.8,1.247219129,1.2
1.32,3,103.5906167,94.54413178,100.6291974,91.99214812,1.069020962,1.024733609,59.94547,29.36136742,25.61223052,23.87117072,715.0333333,801.7632576,696.3573714,781.2885116,1.071904177,0.822398949,399.3,442.4246212,167.0212827,172.3819457,165.3333333,140.8560606,158.4330108,133.7956387,1.060025782,1.075413283,95,23.75378788,44.09333535,45.86560284,6511.666667,5815.92803,6331.550883,5663.926769,1.070555928,1.042075867,3751.0,1538.867424,1553.015203,1432.168984,111.2,144.1363636,94.80340879,125.2088234,0.945993539,0.611853618,147.0,106.1704545,62.28948547,64.57314947,12.83333333,9.647348485,9.696679347,7.561662953,0.823874147,0.980256514,21.4,3.715530303,9.88275715,8.298780977,22.50666667,13.34333333,7.146830551,2.510287273,0.533374111,0.619032377,53.48,9.918030303,22.84454907,20.27011656,4.666666667,5.162878788,4.481404747,4.990679604,1.060944241,0.826826655,3,2.920454545,1.247219129,1.196580057
