usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
90,6,2,1036,103,114,1.0,1.0,172076,355965,2.0,6527,1851864
88,1,0,2165,205,101,0.4,1.2,43107,44139,3.0,130,1131931
85,62,77,3806,258,166,1.4,1.4,492142,268706,5.2,256,1314590
79,42,55,3949,249,244,2.6,4.6,197289,529200,3.4,331,1013805
92,5,1,1692,132,87,0.4,1.8,220194,107031,2.2,2291,1010703
87,159,40,2443,299,262,1.0,1.0,240375,209450,2.8,536,1069565
86,1,0,3322,271,170,1.0,3.2,399277,128680,1.0,579,1120168
87,9,3,1626,106,100,1.2,1.2,261018,111663,1.0,615,1073621
93,11,2,1687,76,115,0.4,0.4,76103,93789,1.0,631,1068366
84,2,1,5402,406,274,0.2,0.2,22609,155154,2.5,152,1015040
92,6,2,2040,121,112,0.6,0.6,38688,60507,1.0,1201,1111232
0,172,113,1427,171,134,0.6,3.39,261636,103649,744.0,92,8
91,13,12,2859,459,215,0.6,2.0,652144,585464,3.2,220,1043795
83,24,32,419,41,27,2.0,2.0,91694,34919,1.2,3733,1819309
90,67,90,1850,131,61,1.2,2.2,40316,23559,1.3,694,1020261
88,15,5,1795,343,209,1.0,1.0,91247,93705,2.0,112,1527192
89,4,0,1969,209,200,2.4,0.8,131479,48942,1.3,1126,1053153
76,11,6,4515,185,165,3.79,4.99,85634,65019,4.4,890,1537031
92,5,4,1568,68,102,0.2,0.2,42053,30000,1.5,313,1016542
83,8,3,3942,702,244,1.0,0.8,463837,166875,6.6,159,1295243
90,2,0,457,48,37,2.0,2.0,65518,74456,1.0,6493,1851952
89,5,0,3300,395,219,2.0,0.8,133693,89066,4.8,2230,1555064
90,1,0,2596,211,195,0.2,0.2,299110,67609,2.8,266,1715549
96,1,1,963,90,62,0.6,0.6,91754,14319,2.2,3125,1707618
92,6,5,1860,128,103,0.6,0.8,118921,56765,2.2,238,982450
91,3,2,1710,131,122,0.6,1.0,68306,103547,3.2,493,1063110
87,5,0,4901,508,330,2.0,0.6,165967,155044,2.8,2560,1646453
83,13,8,4349,300,191,2.8,3.0,96009,70467,2.2,772,993909
73,622,543,5572,480,297,1.2,3.8,166930,128473,3.0,527,1061819
72,28,23,6465,408,177,4.2,5.0,454491,41075,2.8,437,999322
90,12,10,1783,102,78,1.4,0.8,118290,25482,3.2,512,989838
81,8,2,3309,503,365,4.17,2.78,827279,223918,2.0,747,1112439
96,2,1,253,22,24,0.8,0.8,34552,22677,1.2,7091,1846198
97,1,0,1276,29,31,0.6,4.2,47728,9473,2.2,4590,1829136
93,57,55,1123,107,79,0.2,0.2,20746,36718,1.4,941,972674
71,38,30,5991,289,193,5.8,6.0,401075,205417,2.3,213,1015771
67,26,2,5404,475,246,6.2,16.4,328399,196650,3.8,122,1091184
87,5,3,3786,167,149,1.2,1.2,172744,161033,1.0,700,986394
90,1,0,1816,155,99,0.8,1.0,44286,56277,1.0,1259,1048148
86,2,0,4228,206,186,1.8,0.6,84452,45749,2.2,600,1740986
96,2,1,986,73,54,0.2,0.2,5562,23881,2.3,217,1013784
91,0,0,255,32,32,0.2,0.2,1430,7410,1.6,1196,1767021
86,40,11,3402,283,202,2.8,4.2,225184,28672,1.0,1025,1092723
52,55,0,4652,302,223,16.17,36.93,180995,29681,1.0,187,1102798
88,14,4,1575,358,236,2.2,1.8,468846,173574,1.0,362,1070280
76,7,1,2319,207,94,0.6,1.2,1132227,33317,2.8,98,984424
89,2,1,2133,134,90,0.8,1.0,100812,83681,1.8,405,987278
94,1,0,1372,66,41,0.2,0.2,17950,17530,1.4,986,1066130
96,9,8,470,129,81,0.2,0.2,291365,51259,1.2,1302,1760490
80,32,26,3205,350,245,1.0,1.4,109372,69986,2.6,405,1315331
87,16,14,1363,121,82,0.8,0.6,321356,183286,3.2,753,1511563
97,0,0,183,38,21,0.2,0.2,255771,228527,2.8,3652,1819990
0,2,0,1240,87,83,0.4,0.6,21455,50048,679.0,93,7
