usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
0,47,63,1358,431,272,0.6094609488752674,0.5994425629071958,948306,953153,45.25215577422428,75,24
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
0,9,5,1879,318,195,1.2,0.8,1598065,1456441,216.0,89,11
0,9,5,1879,318,195,1.2,0.8,1598065,1456441,216.0,89,11
0,9,4,1893,318,193,1.187735530005816,0.798590012317762,1608443,1448911,217.37821707783647,88,10
0,8,5,1870,318,195,1.215702785116228,0.8020365184795111,1575560,1455382,218.4778582812529,89,10
0,8,5,1877,317,196,1.2016892802621417,0.7993276713306843,1584012,1459181,214.37540123865483,89,11
0,9,5,1879,318,195,1.2,0.8,1598065,1456441,216.0,89,11
89,6,1,1013,102,113,1.0418907238196295,0.9905078875292175,165459,356445,1.9281325664043176,6587,1850741
90,6,1,991,106,109,1.0057272143729346,0.9866660799368977,173512,355993,2.0036230401002357,6567,1848861
90,6,2,1036,103,114,1.0,1.0,172076,355965,2.0,6527,1851864
89,6,2,1069,106,115,1.0363659182029652,0.9402302707940391,173807,358007,1.988240804716744,6468,1856850
89,5,2,1009,99,116,1.0050574914755923,1.0139192170689488,172386,355765,1.9818368085158997,6535,1850923
89,5,1,1071,101,110,1.0531170972378776,1.0298037987302375,170992,356509,1.9935553407166737,6545,1855278
83,23,31,412,41,25,1.9494482975561254,2.048356334608892,92271,37309,1.1908907424556903,3787,1819995
82,23,31,452,38,28,1.9796494376683382,1.9670120893547516,87976,36299,1.2147480114656812,3777,1822442
82,23,31,455,41,27,1.9909557938645364,2.0000056046009704,92144,34553,1.191107836126539,3791,1819763
83,24,32,419,41,27,2.0,2.0,91694,34919,1.2,3733,1819309
82,23,31,380,40,32,1.9790115909574992,1.9679859267390167,84167,34745,1.2291960872153782,3685,1819844
