Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
10,0,18.0,43.7,17.16666667,44.29,19.1,42.0,16.89,44.09,16.68888889,50.28,7.66,83.85666667,17.0,39.29,17.12777778,45.79,16.29,43.59,7.2,763.8333333,82.0,8.666666667,40.0,4.33,2.874299674,2.874299674
10,0,19.0,47.12666667,18.29,46.9,19.73,45.4,18.0,48.09,17.29,53.74,8.226666667,99.9,17.5,44.89388889,17.51111111,51.09,16.89,48.9,8.3,759.2,89.0,4.0,29.0,6.6,49.12030222,49.12030222
10,0,19.1,45.82666667,18.39,45.26,19.7,44.56,18.2,45.59,17.2,52.334,6.4,97.42333333,17.95722222,41.46111111,17.945,47.66944444,16.96333333,46.62666667,7.3,765.2,74.0,2.0,40.0,2.9,28.88497541,28.88497541
10,0,19.23,39.03,17.79,39.5,19.7,40.5675,18.6,38.16333333,17.1,60.145,-4.905555556,86.76777778,17.63333333,33.9,19.5,45.09,16.79,41.29,-4.1,756.2833333,89.0,1.0,64.0,-5.7,19.33723311,19.33723311
20,0,17.89,44.79,17.1,45.0,19.0,42.4,16.79,45.0,16.6,50.2,8.69,84.82333333,16.97555556,40.33277778,17.02222222,47.03,16.2,44.5,8.4,762.6,84.5,10.0,40.0,5.9,31.4291955,31.4291955
20,0,17.92666667,44.2,17.13333333,44.59,19.0,42.2,16.79,44.5,16.66111111,50.24,8.5,81.96666667,17.0,39.76,17.1,46.4,16.2,43.9,8.1,763.4,81.66666667,10.33333333,40.0,5.1,22.85231589,22.85231589
20,0,18.0,43.7,17.16666667,44.29,19.1,42.0,16.89,44.0,16.7,50.29,7.56,82.96,17.03333333,39.28944444,17.16666667,45.735,16.29,43.5,7.1,763.8,81.5,8.5,40.0,4.15,12.7002415,12.7002415
20,0,18.1,39.82666667,17.0,40.29,18.29,39.7,15.89,39.56,16.0,48.0,3.79,99.3,16.1,34.823,17.5,42.725,15.6,39.59,3.27,760.35,95.83333333,6.0,45.16666667,2.65,40.37304227,40.37304227
20,0,18.2,43.2,17.26,44.06,19.2,42.2,17.0,43.5,16.77,50.59,4.226666667,95.45666667,17.2,38.79,17.29,45.13277778,16.39,43.09,4.65,764.1333333,81.83333333,6.333333333,40.0,1.82,10.741376,10.741376
20,0,18.35666667,43.09,17.39,43.79,19.1,42.36333333,17.2,43.5,16.81222222,50.81444444,3.626666667,98.85666667,17.34555556,38.79,17.46333333,45.06,16.5,43.09,4.45,764.55,81.16666667,6.0,40.0,1.47,44.76417286,44.76417286
20,0,18.39,38.79,17.39,39.0,18.5,39.36333333,16.2,38.59,16.2,47.59,4.59,88.62666667,16.29,33.29611111,17.86777778,41.48277778,15.8,39.29,3.7,760.8,71.33333333,6.0,22.33333333,-1.07,40.68182937,40.68182937
20,0,18.7,37.79,17.6,37.7,19.1,40.4,16.35666667,38.2,16.6,46.92777778,-2.126666667,92.7,16.29,32.9,18.62777778,45.99166667,16.0,43.09,-1.3,763.4,84.0,2.0,65.0,-3.7,5.002745485,5.002745485
20,0,18.7,39.0,17.39,39.4,19.0,39.26,17.46333333,38.26,16.89,48.59,-4.663333333,88.36444444,17.1,33.0,19.29,45.2,16.39,41.9,-4.0,759.1,90.0,1.0,61.0,-5.4,17.50208315,17.50208315
20,0,18.7,40.5,17.2,41.0,19.2,39.9,18.0,38.29,16.79555556,57.005,-5.494444444,83.07833333,17.29,33.9,18.89,43.15722222,16.6,39.4,-4.7,757.2166667,92.66666667,1.0,62.0,-5.75,32.00590041,32.00590041
