Unnamed: 0,SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
0,0,64,0,0.249908,0,0,8158.0,0.0
2,0,41,0,0.456127,0,0,6666.0,0.0
3,0,43,0,0.00019,0,0,10500.0,2.0
4,1,49,0,0.27182,0,0,400.0,0.0
5,0,55,0,0.324678,0,0,8934.0,0.0
6,0,25,0,0.473421,0,0,2200.0,0.0
7,1,31,0,0.017415,0,0,4076.0,0.0
8,1,37,2,0.23371,0,0,7166.0,0.0
9,0,55,0,0.420954,0,0,3750.0,0.0
10,1,53,10,0.33162,3,1,3500.0,0.0
11,0,57,0,0.337166,0,0,16000.0,0.0
12,1,39,8,0.961171,0,1,9116.0,1.0
13,0,61,0,0.549059,0,0,5900.0,1.0
16,0,30,0,0.417556,0,0,2904.0,0.0
18,0,60,0,0.386186,0,0,9106.0,1.0
19,0,26,0,0.07322,0,1,6500.0,0.0
20,0,56,0,0.494101,0,0,5000.0,0.0
21,0,57,0,0.257227,0,0,15600.0,0.0
22,0,31,0,0.463007,0,0,5500.0,1.0
23,0,62,0,0.372231,0,0,8577.0,2.0
24,0,50,0,0.582908,0,0,8038.0,2.0
26,0,81,0,0.000678,0,0,5899.0,0.0
27,0,80,0,0.0,0,0,1600.0,0.0
28,0,73,0,0.111416,0,0,29133.0,0.0
32,1,48,0,0.402904,0,0,8609.0,4.0
34,0,29,0,0.224753,0,0,9000.0,0.0
36,1,39,1,0.388264,0,0,12900.0,2.0
38,0,50,0,0.420138,0,0,4200.0,3.0
39,0,25,0,0.020672,0,0,1547.0,1.0
40,1,42,0,2.644356,0,0,1000.0,1.0
41,0,37,0,0.335494,0,0,14500.0,0.0
43,1,62,0,0.434735,0,0,2734.0,0.0
44,0,59,0,2.094595,0,0,2515.0,0.0
45,1,58,1,0.145142,1,0,2500.0,0.0
46,0,61,0,0.0,0,0,7085.0,1.0
47,1,43,0,1.416861,0,0,3000.0,0.0
48,0,64,0,0.368246,0,1,4811.0,0.0
49,1,47,1,0.504299,3,0,5000.0,2.0
50,1,58,1,0.19515,1,0,7916.0,1.0
51,0,78,0,0.006672,0,0,2397.0,0.0
52,1,51,2,0.0045,0,0,36000.0,0.0
53,1,66,0,0.417904,0,1,4780.0,0.0
54,0,31,0,0.136907,0,0,2928.0,0.0
55,0,78,0,0.008555,0,0,2220.0,0.0
58,0,83,0,0.146319,0,0,4250.0,0.0
59,1,41,2,0.163562,0,0,9500.0,2.0
60,0,52,0,0.001852,0,0,8100.0,0.0
61,0,57,0,0.823987,0,0,1800.0,0.0
62,0,25,0,0.182396,0,0,3146.0,2.0
64,1,53,1,0.381117,0,0,13016.0,4.0
65,1,67,3,1.41014,4,1,4200.0,0.0
66,0,39,0,0.468056,0,0,10846.0,1.0
68,0,45,0,0.432022,0,0,5920.0,4.0
69,0,39,0,0.545593,0,0,4583.0,0.0
70,0,68,0,0.255769,0,0,10833.0,0.0
71,0,59,0,0.350526,0,0,11593.0,1.0
73,0,63,1,0.134183,0,0,6900.0,0.0
74,0,39,0,1.664668,0,0,2000.0,0.0
75,0,59,1,0.835846,1,0,596.0,0.0
77,0,37,0,0.31564,0,0,12000.0,2.0
79,0,40,0,0.09087,0,0,4643.0,2.0
80,1,54,1,0.268913,0,1,3026.0,1.0
81,1,41,0,0.19027,2,6,3000.0,1.0
83,0,31,0,0.134179,0,0,2600.0,0.0
84,0,51,0,1.11785,0,0,1450.0,1.0
85,0,60,0,0.426719,0,0,4550.0,0.0
86,0,51,0,0.31613,0,0,18833.0,0.0
87,0,69,0,1248.0,0,0,0.0,1.0
89,0,66,0,0.264484,0,0,3175.0,0.0
90,1,65,0,1.403465,1,0,2423.0,0.0
92,1,40,1,0.405833,1,0,4868.0,2.0
93,1,51,0,0.287639,1,1,3785.0,0.0
94,0,33,0,0.067374,0,0,6500.0,2.0
95,0,45,1,0.611056,0,0,7000.0,1.0
96,0,45,1,0.635668,0,0,6666.0,2.0
97,1,32,1,0.507437,0,0,4033.0,0.0
98,0,58,0,0.95342,0,0,4400.0,1.0
99,0,61,0,0.646335,0,0,1950.0,0.0
100,0,47,0,0.498124,0,0,5329.0,3.0
102,1,74,1,1.157397,0,0,2750.0,0.0
103,0,62,0,0.400313,0,0,3199.0,0.0
104,0,51,0,2.210114,0,0,1660.0,0.0
105,0,37,0,0.575943,0,0,3923.0,1.0
106,0,69,0,1.091272,0,0,1500.0,0.0
107,1,35,0,0.304462,0,0,2666.0,2.0
108,0,34,0,0.008734,1,0,2747.0,4.0
109,1,44,4,0.388193,1,1,13500.0,2.0
110,0,36,1,0.438104,0,0,10250.0,2.0
111,1,58,0,0.744167,0,0,5014.0,0.0
113,0,52,0,0.072386,0,0,5000.0,3.0
114,0,79,0,0.005852,0,0,3075.0,0.0
115,0,71,0,0.101469,0,0,5853.0,0.0
116,0,47,0,0.786434,0,0,6250.0,0.0
117,0,39,0,0.7515,0,0,3500.0,3.0
118,0,40,3,0.524707,0,0,5200.0,1.0
120,0,45,0,0.170883,0,0,10000.0,1.0
121,0,70,0,0.054449,0,0,1505.0,0.0
122,1,54,0,0.527795,0,0,1600.0,1.0
123,0,49,0,0.465804,0,0,5950.0,2.0
124,0,48,1,0.344596,0,0,4024.0,1.0
125,0,52,0,0.006642,0,0,121200.0,0.0
126,1,47,2,0.453641,1,4,7333.0,0.0
127,1,25,0,0.101093,0,0,1463.0,1.0
128,0,38,1,0.435871,0,0,7632.0,2.0
130,0,36,0,0.05322,0,0,9300.0,4.0
131,0,62,1,0.375348,1,2,6100.0,0.0
132,1,28,0,0.0,0,0,2925.0,0.0
133,0,44,1,0.555111,0,1,4000.0,0.0
135,0,36,0,0.496638,1,4,3420.0,2.0
136,0,53,0,0.192629,0,0,14000.0,1.0
138,0,49,1,0.383238,0,0,5750.0,0.0
139,0,63,2,0.191649,0,0,6250.0,1.0
140,0,66,0,0.088333,0,0,4833.0,0.0
142,0,54,0,0.56241,0,1,7666.0,0.0
