,Abalone
Distributed SMOGN (k_partitions = 2)_Fold 0,33.473
Distributed SMOGN (k_partitions = 2)_Fold 1,6.585113520444499e-05
Distributed SMOGN (k_partitions = 4)_Fold 0,14.113999999999999
Distributed SMOGN (k_partitions = 4)_Fold 1,9.3130419204447e-05
Distributed SMOGN (k_partitions = 8)_Fold 0,22.316
Distributed SMOGN (k_partitions = 8)_Fold 1,0.00011252108900479301
ROS_Fold 0,4.272
ROS_Fold 1,1.0840118200842002e-05
RUS_Fold 0,9.276
RUS_Fold 1,2.4700244602067998e-05
SMOGN_Fold 0,0.0
SMOGN_Fold 1,0.0
